City,Date,High,Low,0
,,,,0
San Francisco,10/1/10,69,60,0
,,,,0
San Francisco,10/2/10,70,59,0
,,,,0
San Francisco,10/3/10,71,59,0
,,,,0
San Francisco,10/4/10,69,60,0
,,,,0
San Francisco,10/5/10,75,57,0
,,,,0
San Francisco,10/6/10,76,61,0
,,,,0
San Francisco,10/7/10,72,58,0
,,,,0
San Francisco,10/8/10,76,57,0
,,,,0
San Francisco,10/9/10,79,57,0
,,,,0
San Francisco,10/10/10,76,60,0
,,,,0
San Francisco,10/11/10,88,60,0
,,,,0
San Francisco,10/12/10,94,66,0
,,,,0
San Francisco,10/13/10,92,66,0
,,,,0
San Francisco,10/14/10,86,64,0
,,,,0
San Francisco,10/15/10,76,59,0
,,,,0
San Francisco,10/16/10,65,57,0
,,,,0
San Francisco,10/17/10,60,58,0.05
,,,,0
San Francisco,10/18/10,67,54,0
,,,,0
San Francisco,10/19/10,73,54,0
,,,,0
San Francisco,10/20/10,68,54,0
,,,,0
San Francisco,10/21/10,71,62,0.01
,,,,0
San Francisco,10/22/10,66,57,0
,,,,0
San Francisco,10/23/10,68,55,0.27
,,,,0
San Francisco,10/24/10,70,62,0.37
,,,,0
San Francisco,10/25/10,68,58,0
,,,,0
San Francisco,10/26/10,68,55,0
,,,,0
San Francisco,10/27/10,66,52,0
,,,,0
San Francisco,10/28/10,73,51,0
,,,,0
San Francisco,10/29/10,63,55,0.08
,,,,0
San Francisco,10/30/10,63,52,0.06
,,,,0
San Francisco,10/31/10,66,51,0
,,,,0
San Francisco,11/1/10,72,51,0
,,,,0
San Francisco,11/2/10,73,53,0
,,,,0
San Francisco,11/3/10,75,55,0
,,,,0
San Francisco,11/4/10,77,58,0
,,,,0
San Francisco,11/5/10,66,54,0
,,,,0
San Francisco,11/6/10,68,54,0
,,,,0
San Francisco,11/7/10,61,53,0.39
,,,,0
San Francisco,11/8/10,60,50,0
,,,,0
San Francisco,11/9/10,61,46,0
,,,,0
San Francisco,11/10/10,61,52,0.02
,,,,0
San Francisco,11/11/10,66,49,0
