City,Date,High,Low,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
,,,,,,,,,,
San Francisco,10/1/10,69,60,64.5,0.7,0,0,0,0,0
,,,,,,,,,,
San Francisco,10/2/10,70,59,64.5,0.8,0,0,0,0,0
,,,,,,,,,,
San Francisco,10/3/10,71,59,65,1.4,0,0,0,0,0
,,,,,,,,,,
San Francisco,10/4/10,69,60,64.5,1,0,0,0,0,0
,,,,,,,,,,
San Francisco,10/5/10,75,57,66,2.6,0,1,0,0,0
,,,,,,,,,,
San Francisco,10/6/10,76,61,68.5,5.2,0,4,0,0,0
,,,,,,,,,,
San Francisco,10/7/10,72,58,65,1.8,0,0,0,0,0
,,,,,,,,,,
San Francisco,10/8/10,76,57,66.5,3.5,0,2,0,0,0
,,,,,,,,,,
San Francisco,10/9/10,79,57,68,5.1,0,3,0,0,0
,,,,,,,,,,
San Francisco,10/10/10,76,60,68,5.2,0,3,0,0,0
,,,,,,,,,,
San Francisco,10/11/10,88,60,74,11.3,0,9,0,0,0
,,,,,,,,,,
San Francisco,10/12/10,94,66,80,17.5,0,15,0,0,0
,,,,,,,,,,
San Francisco,10/13/10,92,66,79,16.6,0,14,0,0,0
,,,,,,,,,,
San Francisco,10/14/10,86,64,75,12.7,0,10,0,0,0
,,,,,,,,,,
San Francisco,10/15/10,76,59,67.5,5.4,0,3,0,0,0
,,,,,,,,,,
San Francisco,10/16/10,65,57,61,-1,4,0,T,0,0
,,,,,,,,,,
San Francisco,10/17/10,60,58,59,-2.8,6,0,0.05,0,0
,,,,,,,,,,
San Francisco,10/18/10,67,54,60.5,-1.1,4,0,0,0,0
,,,,,,,,,,
San Francisco,10/19/10,73,54,63.5,2,1,0,0,0,0
,,,,,,,,,,
San Francisco,10/20/10,68,54,61,-0.3,4,0,0,0,0
,,,,,,,,,,
San Francisco,10/21/10,71,62,66.5,5.4,0,2,0.01,0,0
,,,,,,,,,,
San Francisco,10/22/10,66,57,61.5,0.5,3,0,T,0,0
,,,,,,,,,,
San Francisco,10/23/10,68,55,61.5,0.7,3,0,0.27,0,0
,,,,,,,,,,
San Francisco,10/24/10,70,62,66,5.4,0,1,0.37,0,0
,,,,,,,,,,
San Francisco,10/25/10,68,58,63,2.6,2,0,0,0,0
,,,,,,,,,,
San Francisco,10/26/10,68,55,61.5,1.3,3,0,0,0,0
,,,,,,,,,,
San Francisco,10/27/10,66,52,59,-1,6,0,0,0,0
,,,,,,,,,,
San Francisco,10/28/10,73,51,62,2.2,3,0,0,0,0
,,,,,,,,,,
San Francisco,10/29/10,63,55,59,-0.6,6,0,0.08,0,0
,,,,,,,,,,
San Francisco,10/30/10,63,52,57.5,-1.9,7,0,0.06,0,0
,,,,,,,,,,
San Francisco,10/31/10,66,51,58.5,-0.7,6,0,0,0,0
,,,,,,,,,,
San Francisco,11/1/10,72,51,61.5,2.5,3,0,0,0,0
,,,,,,,,,,
San Francisco,11/2/10,73,53,63,4.2,2,0,0,0,0
,,,,,,,,,,
San Francisco,11/3/10,75,55,65,6.4,0,0,0,0,0
,,,,,,,,,,
San Francisco,11/4/10,77,58,67.5,9.1,0,3,0,0,0
,,,,,,,,,,
San Francisco,11/5/10,66,54,60,1.8,5,0,0,0,0
,,,,,,,,,,
